,Activity
37,1
344,1
48,1
333,1
632,0
708,0
775,0
319,1
247,1
76,1
64,1
654,0
52,1
350,1
572,0
477,0
609,0
530,0
765,0
34,1
727,0
272,1
471,0
118,1
12,1
157,1
786,0
230,1
241,1
346,1
181,1
363,1
97,1
571,0
678,0
492,0
770,0
787,0
478,0
424,0
378,1
745,0
582,0
641,0
306,1
604,0
215,1
17,1
670,0
386,1
460,0
299,1
482,0
526,0
605,0
790,0
294,1
753,0
457,0
362,1
170,1
187,1
740,0
239,1
45,1
602,0
366,1
62,1
78,1
419,0
731,0
392,1
140,1
198,1
352,1
585,0
127,1
270,1
432,0
271,1
443,0
144,1
214,1
760,0
485,0
21,1
653,0
468,0
250,1
243,1
667,0
35,1
81,1
159,1
493,0
466,0
109,1
399,1
358,1
92,1
334,1
618,0
808,0
211,1
351,1
165,1
238,1
188,1
819,0
453,0
527,0
682,0
155,1
318,1
412,0
495,0
583,0
66,1
546,0
374,1
268,1
161,1
671,0
356,1
558,0
331,1
569,0
726,0
372,1
504,0
229,1
704,0
301,1
220,1
749,0
634,0
728,0
15,1
245,1
397,1
6,1
367,1
389,1
104,1
303,1
798,0
465,0
302,1
497,0
90,1
516,0
652,0
375,1
218,1
668,0
440,0
205,1
759,0
190,1
746,0
439,0
194,1
535,0
132,1
233,1
173,1
178,1
313,1
315,1
793,0
623,0
206,1
567,0
96,1
703,0
380,1
575,0
89,1
524,0
179,1
0,1
46,1
171,1
655,0
750,0
107,1
408,1
133,1
518,0
223,1
821,0
327,1
364,1
102,1
576,0
108,1
213,1
538,0
390,1
568,0
246,1
795,0
484,0
125,1
135,1
640,0
475,0
365,1
665,0
224,1
26,1
413,0
523,0
718,0
807,0
805,0
3,1
134,1
325,1
355,1
557,0
186,1
628,0
295,1
687,0
747,0
385,1
506,0
648,0
738,0
225,1
673,0
330,1
369,1
491,0
332,1
425,0
744,0
561,0
781,0
404,1
63,1
624,0
580,0
360,1
452,0
619,0
112,1
521,0
720,0
20,1
65,1
298,1
126,1
259,1
499,0
612,0
593,0
420,0
729,0
339,1
384,1
688,0
137,1
105,1
7,1
342,1
751,0
309,1
683,0
417,0
573,0
698,0
407,1
185,1
564,0
353,1
522,0
153,1
54,1
30,1
489,0
730,0
100,1
513,0
797,0
774,0
237,1
712,0
56,1
400,1
60,1
666,0
531,0
778,0
262,1
502,0
264,1
761,0
22,1
208,1
391,1
529,0
519,0
167,1
38,1
487,0
706,0
672,0
300,1
549,0
542,0
505,0
696,0
163,1
124,1
154,1
336,1
59,1
674,0
304,1
766,0
645,0
449,0
343,1
772,0
500,0
311,1
427,0
657,0
437,0
158,1
51,1
592,0
732,0
563,0
361,1
520,0
577,0
219,1
553,0
494,0
308,1
74,1
282,1
603,0
348,1
820,0
4,1
661,0
463,0
635,0
545,0
722,0
517,0
734,0
741,0
276,1
284,1
470,0
426,0
281,1
120,1
810,0
13,1
534,0
455,0
784,0
160,1
800,0
676,0
587,0
614,0
195,1
191,1
536,0
164,1
106,1
16,1
584,0
540,0
329,1
480,0
498,0
715,0
405,1
613,0
93,1
433,0
83,1
693,0
638,0
414,0
801,0
601,0
809,0
748,0
322,1
556,0
357,1
69,1
514,0
509,0
340,1
221,1
762,0
146,1
289,1
29,1
114,1
508,0
663,0
796,0
176,1
168,1
347,1
376,1
625,0
716,0
700,0
631,0
189,1
136,1
446,0
721,0
254,1
724,0
290,1
771,0
695,0
232,1
33,1
88,1
44,1
341,1
61,1
783,0
199,1
429,0
658,0
394,1
297,1
73,1
393,1
547,0
579,0
541,0
701,0
685,0
691,0
217,1
539,0
680,0
421,0
138,1
212,1
616,0
692,0
689,0
711,0
752,0
234,1
67,1
24,1
381,1
216,1
129,1
349,1
111,1
166,1
207,1
438,0
552,0
274,1
780,0
591,0
656,0
525,0
287,1
469,0
326,1
121,1
507,0
228,1
595,0
445,0
117,1
464,0
25,1
110,1
149,1
152,1
528,0
621,0
461,0
598,0
139,1
260,1
323,1
737,0
248,1
450,0
410,1
607,0
19,1
328,1
296,1
269,1
226,1
94,1
515,0
637,0
280,1
286,1
589,0
764,0
444,0
184,1
371,1
717,0
799,0
275,1
767,0
182,1
32,1
80,1
307,1
11,1
43,1
86,1
36,1
58,1
41,1
411,0
562,0
209,1
148,1
594,0
123,1
574,0
98,1
377,1
130,1
699,0
23,1
776,0
555,0
370,1
512,0
383,1
201,1
368,1
554,0
610,0
387,1
292,1
690,0
256,1
606,0
197,1
95,1
789,0
773,0
169,1
581,0
305,1
560,0
373,1
719,0
227,1
660,0
143,1
180,1
131,1
779,0
47,1
324,1
203,1
84,1
633,0
565,0
611,0
398,1
91,1
82,1
430,0
119,1
291,1
57,1
321,1
257,1
794,0
442,0
42,1
617,0
388,1
335,1
273,1
756,0
488,0
550,0
53,1
768,0
128,1
28,1
183,1
459,0
510,0
675,0
151,1
244,1
714,0
543,0
544,0
639,0
697,0
265,1
288,1
423,0
147,1
659,0
792,0
177,1
99,1
448,0
431,0
709,0
755,0
115,1
777,0
72,1
537,0
677,0
806,0
174,1
87,1
551,0
486,0
705,0
314,1
396,1
600,0
472,0
70,1
599,0
804,0
754,0
277,1
723,0
9,1
359,1
707,0
763,0
192,1
629,0
559,0
684,0
